family	eval_split	n_labels	micro_aupr	micro_auroc	macro_aupr	macro_auroc	macro_f1	macro_precision	macro_recall
binary	val	1	0.9958829026626765	0.9953902500631473	0.9958829026626765	0.9953902500631473	0.9861111111111112	0.9770642201834863	0.9953271028037384
binary	test	1	0.9904819233816048	0.9918224299065421	0.9904819233816048	0.9918224299065421	0.9882352941176471	0.995260663507109	0.9813084112149533
mechanism	val	8	0.9713391277186813	0.9810642284828122	0.9827441556382768	0.9911771295639873	0.9751593348667816	0.9814635093167702	0.969375
mechanism	test	8	0.9548885904089532	0.9726898545847704	0.8021836289004591	0.9782619852234111	0.7111304446993668	0.6968482905982907	0.7385947107557989
