label	family	scope	C	rank_metric	rank_value	n	positives	negatives	prevalence	threshold	tp	fp	tn	fn	accuracy	balanced_accuracy	precision	recall	f1	mcc	specificity	aupr	auroc	all_negative_accuracy	all_negative_balanced_accuracy	all_negative_f1	aupr_lift_over_prevalence
deaminase	mechanism	mechanism_labeled	0.03	aupr	1.0	209	1	208	0.004784688995215311	0.8717317831311149	1	0	208	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9952153110047847	0.5	0.0	209.0
deaminase	mechanism	mechanism_labeled	0.1	aupr	1.0	209	1	208	0.004784688995215311	0.9034226823926272	1	0	208	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9952153110047847	0.5	0.0	209.0
deaminase	mechanism	mechanism_labeled	0.3	aupr	1.0	209	1	208	0.004784688995215311	0.9282760533597645	1	0	208	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9952153110047847	0.5	0.0	209.0
deaminase	mechanism	mechanism_labeled	1.0	aupr	1.0	209	1	208	0.004784688995215311	0.9498591969616551	1	0	208	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9999999999999999	0.9952153110047847	0.5	0.0	209.0
deaminase	mechanism	mechanism_labeled	3.0	aupr	1.0	209	1	208	0.004784688995215311	0.9649652428865104	1	0	208	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9952153110047847	0.5	0.0	209.0
deaminase	mechanism	mechanism_labeled	10.0	aupr	1.0	209	1	208	0.004784688995215311	0.9767158981680328	1	0	208	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9999999999999999	0.9952153110047847	0.5	0.0	209.0
dihydrouridine_synthase	mechanism	mechanism_labeled	0.003	aupr	1.0	209	1	208	0.004784688995215311	0.9502519849510881	1	0	208	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9952153110047847	0.5	0.0	209.0
dihydrouridine_synthase	mechanism	mechanism_labeled	0.01	aupr	1.0	209	1	208	0.004784688995215311	0.9782767377968795	1	0	208	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9952153110047847	0.5	0.0	209.0
dihydrouridine_synthase	mechanism	mechanism_labeled	0.03	aupr	1.0	209	1	208	0.004784688995215311	0.9914120947947604	1	0	208	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9952153110047847	0.5	0.0	209.0
dihydrouridine_synthase	mechanism	mechanism_labeled	0.1	aupr	1.0	209	1	208	0.004784688995215311	0.9972452324091247	1	0	208	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9952153110047847	0.5	0.0	209.0
dihydrouridine_synthase	mechanism	mechanism_labeled	0.3	aupr	1.0	209	1	208	0.004784688995215311	0.999087470513684	1	0	208	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9952153110047847	0.5	0.0	209.0
dihydrouridine_synthase	mechanism	mechanism_labeled	1.0	aupr	1.0	209	1	208	0.004784688995215311	0.9997371942136595	1	0	208	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9952153110047847	0.5	0.0	209.0
dihydrouridine_synthase	mechanism	mechanism_labeled	3.0	aupr	1.0	209	1	208	0.004784688995215311	0.999920061837438	1	0	208	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9952153110047847	0.5	0.0	209.0
dihydrouridine_synthase	mechanism	mechanism_labeled	10.0	aupr	1.0	209	1	208	0.004784688995215311	0.999978295782718	1	0	208	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9952153110047847	0.5	0.0	209.0
methyltransferase	mechanism	mechanism_labeled	0.003	aupr	0.8895821139311044	209	24	185	0.11483253588516747	0.5086700722929194	23	9	176	1	0.9521531100478469	0.9548423423423424	0.71875	0.9583333333333334	0.8214285714285714	0.8054169141641634	0.9513513513513514	0.8895821139311044	0.9734234234234235	0.8851674641148325	0.5	0.0	7.746777575483367
methyltransferase	mechanism	mechanism_labeled	0.01	aupr	0.9109577453276624	209	24	185	0.11483253588516747	0.6009835277473251	22	5	180	2	0.9665071770334929	0.9448198198198199	0.8148148148148148	0.9166666666666666	0.8627450980392157	0.8456449009180105	0.972972972972973	0.9109577453276624	0.9770270270270272	0.8851674641148325	0.5	0.0	7.93292369889506
methyltransferase	mechanism	mechanism_labeled	0.03	aupr	0.9210308934271263	209	24	185	0.11483253588516747	0.8541462924785188	20	2	183	4	0.9712918660287081	0.9112612612612613	0.9090909090909091	0.8333333333333334	0.8695652173913043	0.8544903060274351	0.9891891891891892	0.9210308934271263	0.9783783783783784	0.8851674641148325	0.5	0.0	8.020644030261225
methyltransferase	mechanism	mechanism_labeled	0.1	aupr	0.9286456545559034	209	24	185	0.11483253588516747	0.9075421393475092	20	1	184	4	0.9760765550239234	0.9139639639639641	0.9523809523809523	0.8333333333333334	0.8888888888888888	0.87800187965319	0.9945945945945946	0.9286456545559034	0.9801801801801802	0.8851674641148325	0.5	0.0	8.086955908424326
methyltransferase	mechanism	mechanism_labeled	0.3	aupr	0.9337299293469838	209	24	185	0.11483253588516747	0.826278753066968	21	2	183	3	0.9760765550239234	0.9320945945945946	0.9130434782608695	0.875	0.8936170212765957	0.8803997772962207	0.9891891891891892	0.9337299293469838	0.9817567567567568	0.8851674641148325	0.5	0.0	8.131231468063318
methyltransferase	mechanism	mechanism_labeled	1.0	aupr	0.9332093699099266	209	24	185	0.11483253588516747	0.8786507597168474	21	2	183	3	0.9760765550239234	0.9320945945945946	0.9130434782608695	0.875	0.8936170212765957	0.8803997772962207	0.9891891891891892	0.9332093699099266	0.9824324324324324	0.8851674641148325	0.5	0.0	8.126698262965611
methyltransferase	mechanism	mechanism_labeled	3.0	aupr	0.9367993634122009	209	24	185	0.11483253588516747	0.918453117263681	21	2	183	3	0.9760765550239234	0.9320945945945946	0.9130434782608695	0.875	0.8936170212765957	0.8803997772962207	0.9891891891891892	0.9367993634122009	0.9837837837837838	0.8851674641148325	0.5	0.0	8.157961123047917
methyltransferase	mechanism	mechanism_labeled	10.0	aupr	0.9377259757176124	209	24	185	0.11483253588516747	0.9469910577033173	21	2	183	3	0.9760765550239234	0.9320945945945946	0.9130434782608695	0.875	0.8936170212765957	0.8803997772962207	0.9891891891891892	0.9377259757176124	0.9849099099099099	0.8851674641148325	0.5	0.0	8.166030371874207
